dataset,seed,arm,checkpoint_rule,variant,condition,instances,hits,recall
PigDetect_official_test_250,42,E5,best,B_extension_strict,High,2336,2106,0.901541095890411
PigDetect_official_test_250,101,E5,best,A_locked_text_manuscript,Low,1715,1685,0.9825072886297376
PigDetect_official_test_250,101,E5,best,A_locked_text_manuscript,Medium,1385,1343,0.9696750902527076
PigDetect_official_test_250,101,E5,best,A_locked_text_manuscript,High,2336,2106,0.901541095890411
PigDetect_official_test_250,101,E5,best,B_extension_strict,Low,1715,1685,0.9825072886297376
PigDetect_official_test_250,101,E5,best,B_extension_strict,Medium,1385,1343,0.9696750902527076
PigDetect_official_test_250,101,E5,best,B_extension_strict,High,2336,2106,0.901541095890411
PigDetect_official_test_250,113,E5,best,A_locked_text_manuscript,Low,1715,1690,0.9854227405247813
PigDetect_official_test_250,113,E5,best,A_locked_text_manuscript,Medium,1385,1346,0.9718411552346571
PigDetect_official_test_250,113,E5,best,A_locked_text_manuscript,High,2336,2117,0.90625
PigDetect_official_test_250,113,E5,best,B_extension_strict,Low,1715,1690,0.9854227405247813
PigDetect_official_test_250,113,E5,best,B_extension_strict,Medium,1385,1346,0.9718411552346571
PigDetect_official_test_250,113,E5,best,B_extension_strict,High,2336,2117,0.90625
PigDetect_official_test_250,1,E0,last,A_locked_text_manuscript,Low,1715,1687,0.9836734693877551
PigDetect_official_test_250,1,E0,last,A_locked_text_manuscript,Medium,1385,1349,0.9740072202166065
PigDetect_official_test_250,1,E0,last,A_locked_text_manuscript,High,2336,2130,0.9118150684931506
